code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
000725,京东方Ａ,CN,CNY,Q2,2016-06-30,2016-08-30,14150571887.0,1686412697.0,-993324887.0,-647241256.0,42682477.0,-624797872.0,-624797872.0,-0.01777363718489165,170275785022.0,78534779319.0,91741005703.0,44519079579.0,10729817649.0,63258787740.0,88840145622.0,26919298092.0,61920847530.0,11123142770.0,81435639400.0,76601140771.0,-33567508.0,-11121765318.0,3709583325.0,16619546354.0
000725,京东方Ａ,CN,CNY,Q3,2016-09-30,2016-10-25,19393595018.0,3563543315.0,678418859.0,809491697.0,63868933.0,657140380.0,657140380.0,0.01869368513736204,175175152927.0,75106747142.0,100068405785.0,41018466851.0,13672569024.0,71552996994.0,93169057999.0,33321540119.0,59847517880.0,13616736221.0,82006094928.0,77142699064.0,3814061583.0,-5281656308.0,8364586173.0,-2730854774.0
000725,京东方Ａ,CN,CNY,Q4,2016-12-31,2017-04-25,23053753228.0,6285199998.0,2145976874.0,2234152635.0,347101072.0,1741903712.0,1741903712.0,0.04955196868548873,205135011042.0,91041828425.0,114093182617.0,58152817223.0,16191791617.0,69947586967.0,113118955882.0,41439746082.0,71679209800.0,13835615665.0,92016055160.0,78699988493.0,3525138582.0,-6580012448.0,15239666933.0,15001866587.0
000725,京东方Ａ,CN,CNY,Q1,2017-03-31,2017-04-25,21854974362.0,6257433888.0,2952444247.0,3079361033.0,474494165.0,2413015650.0,2413015650.0,0.06864310300430328,213743747227.0,88465328728.0,125278418499.0,51228997839.0,15250839378.0,68410457513.0,117251994519.0,42194270671.0,75057723848.0,16167653756.0,96491752708.0,80974386351.0,6216049821.0,-17230223428.0,14048658723.0,4695288730.0
000725,京东方Ａ,CN,CNY,Q2,2017-06-30,2017-08-29,22750053633.0,6112327518.0,2552299432.0,2455462587.0,465767450.0,1889589950.0,1889589950.0,0.053753201962758214,225472484104.0,90545559880.0,134926924224.0,50760400727.0,16863534739.0,78898829994.0,128002372737.0,52076568136.0,75925804601.0,15215611240.0,97470111367.0,81811299775.0,4422541445.0,-14759249753.0,10920706516.0,10554125759.0
000725,京东方Ａ,CN,CNY,Q3,2017-09-30,2017-10-31,24803328149.0,5763197924.0,2603060508.0,2612231851.0,412765482.0,2173061620.0,2173061620.0,0.062447172779413786,238955632292.0,96013182948.0,142942449344.0,53519407759.0,15052229887.0,80589869844.0,134171877219.0,47385500248.0,86786376971.0,14362344001.0,104783755073.0,83724702000.0,7852416022.0,-15722349937.0,10791086361.0,11808528528.0
000725,京东方Ａ,CN,CNY,Q4,2017-12-31,2018-04-24,24392123071.0,5385042300.0,1565929095.0,1594016068.0,527632883.0,1092015273.0,1092015273.0,0.0313811931530914,256108741849.0,99780298349.0,156328443500.0,57128659576.0,15513763252.0,88625296761.0,151824479016.0,49736167806.0,102088311210.0,16205788698.0,104284262833.0,84809816377.0,7775978727.0,-11350202659.0,11981449110.0,5867429172.0
000725,京东方Ａ,CN,CNY,Q1,2018-03-31,2018-04-24,21566813037.0,4479269844.0,2358509273.0,2389086973.0,452265009.0,2018692554.0,2018692554.0,0.05801107596210461,262729417350.0,96215198784.0,166514218566.0,54077391428.0,14069001897.0,86129707485.0,156326969897.0,49563976715.0,106762993182.0,17314040948.0,106402447453.0,86611338154.0,7198088816.0,-13067367297.0,11114423433.0,5740992442.0
000725,京东方Ａ,CN,CNY,Q2,2018-06-30,2018-08-28,21907091929.0,3850052991.0,1041164687.0,1099575044.0,207303551.0,956513946.0,956513946.0,0.02748729769189926,276232247578.0,99838386790.0,176393860788.0,50581910423.0,17356033029.0,84979890697.0,163838379499.0,48998506709.0,114839872790.0,19003618742.0,112393868079.0,85465192715.0,4241517030.0,-10740269872.0,11255529225.0,2407658302.0
000725,京东方Ａ,CN,CNY,Q3,2018-09-30,2018-10-30,25990508323.0,4745087602.0,414521350.0,420826899.0,279701576.0,403860235.0,403860235.0,0.011605713175211136,289680059305.0,99138689123.0,190541370182.0,53087082081.0,19161653053.0,106323512619.0,176990580670.0,53878875329.0,123111705341.0,,112689478635.0,85818805445.0,6857996566.0,-8239359999.0,15383569999.0,3533045250.0
