country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
CN,000725,Q2,2016-06-30,2016-08-30,0.119176,-0.070197,-0.044154,-0.008157,-0.003669,2.917416,0.521743,1.159776,0.083104,2.222888,-0.002372,0.053725,-0.264523,,
CN,000725,Q3,2016-09-30,2016-10-25,0.183748,0.034982,0.033884,0.008519,0.003751,2.254,0.531862,1.20775,0.11071,2.270794,0.196666,5.804029,-0.234641,,
CN,000725,Q4,2016-12-31,2017-04-25,0.272632,0.093086,0.075558,0.022133,0.008491,2.196969,0.551437,1.437344,0.112383,2.606544,0.15291,2.023728,-0.50814,,
CN,000725,Q1,2017-03-31,2017-04-25,0.286316,0.135093,0.11041,0.0298,0.011289,2.096619,0.548563,1.448013,0.102248,2.639646,0.284423,2.57605,-0.35839,,
CN,000725,Q2,2017-06-30,2017-08-29,0.268673,0.112189,0.083059,0.023097,0.008381,1.738701,0.567707,1.564605,0.100899,2.756007,0.194397,2.340477,-0.285633,0.607713,4.024322
CN,000725,Q3,2017-09-30,2017-10-31,0.232356,0.104948,0.087612,0.025955,0.009094,2.026214,0.561493,1.602536,0.103799,2.854064,0.316587,3.613527,-0.118479,0.278944,2.306845
CN,000725,Q4,2017-12-31,2018-04-24,0.22077,0.064198,0.044769,0.012876,0.004264,2.006192,0.592813,1.790176,0.095241,3.019801,0.318791,7.12076,-0.172411,0.058054,-0.373091
CN,000725,Q1,2018-03-31,2018-04-24,0.207693,0.109358,0.093602,0.023307,0.007684,1.941232,0.595011,1.804925,0.082088,3.03343,0.333758,3.565718,-0.181591,-0.013185,-0.163415
CN,000725,Q2,2018-06-30,2018-08-28,0.175745,0.047526,0.043662,0.011192,0.003463,2.03758,0.593118,1.917019,0.079307,3.232102,0.193614,4.434349,-0.320171,-0.037053,-0.493798
CN,000725,Q3,2018-09-30,2018-10-30,0.18257,0.015949,0.015539,0.004706,0.001394,1.840029,0.610986,2.062375,0.089721,3.375485,0.263865,16.981114,-0.328026,0.047864,-0.814152
CN,000725,Q4,2018-12-31,2019-03-26,0.243384,0.007017,0.002028,0.000653,0.000184,1.602046,0.604125,2.139275,0.090927,3.541113,0.267194,131.756714,-0.339329,0.133335,-0.948663
CN,000725,Q1,2019-03-31,2019-04-30,0.176595,0.047412,0.039759,0.012079,0.003412,1.533596,0.601466,2.129463,0.085808,3.540457,0.233015,5.86076,-0.263536,0.226619,-0.478979
CN,000725,Q2,2019-06-30,2019-08-27,0.159356,0.016201,0.021573,0.007127,0.001945,1.40773,0.60736,2.225649,0.090156,3.664466,0.189986,8.806612,-0.22648,0.304826,-0.355298
CN,000725,Q3,2019-09-30,2019-10-31,0.118149,-0.019176,0.00599,0.002118,0.000567,1.341251,0.602068,2.251094,0.094583,3.73894,0.160742,26.83484,-0.256889,0.18054,-0.544914
CN,000725,Q4,2019-12-31,2020-04-28,0.156945,-0.024073,0.002189,0.000699,0.000195,1.332622,0.585627,2.097185,0.08912,3.581095,0.314992,143.90767,-0.066096,0.097419,0.184496
CN,000725,Q1,2020-03-31,2020-04-28,0.143197,0.00312,0.021896,0.005686,0.00166,1.331982,0.575614,1.972002,0.075802,3.42591,0.201843,9.218085,-0.191962,-0.02171,-0.461222
CN,000725,Q2,2020-06-30,2020-08-29,0.168392,0.014762,0.016257,0.005594,0.001622,1.374127,0.571798,1.972499,0.099754,3.449642,0.128419,7.899455,-0.130178,0.22397,-0.077664
CN,000725,Q3,2020-09-30,2020-10-30,0.186085,0.044584,0.032836,0.013257,0.003691,1.279747,0.577198,2.073203,0.112402,3.591838,0.336882,10.259597,0.037838,0.330415,6.292996
CN,000725,Q4,2020-12-31,2021-04-13,0.281587,0.107111,0.075589,0.024786,0.006034,1.228909,0.591291,2.428998,0.079821,4.10796,0.46607,6.165842,0.089012,0.11626,37.548549
CN,000725,Q1,2021-03-31,2021-04-30,0.281299,0.145159,0.10436,0.046119,0.012117,1.289985,0.58411,2.223162,0.11611,3.806067,0.292472,2.802533,0.033478,0.918682,8.144613
CN,000725,Q2,2021-06-30,2021-08-31,0.339605,0.198816,0.131529,0.067711,0.017406,1.373652,0.573123,2.229479,0.132338,3.890056,0.316196,2.404009,0.145753,0.647175,12.326892
CN,000725,Q3,2021-09-30,2021-10-29,0.33548,0.193198,0.129541,0.05221,0.015981,1.588248,0.533672,1.743499,0.123367,3.266989,0.214423,1.655253,0.105007,0.371675,4.411412
CN,000725,Q4,2021-12-31,2022-03-31,0.196329,0.090303,0.10379,0.040643,0.012917,1.559943,0.517186,1.627367,0.12445,3.146583,0.312667,3.012486,0.190229,0.654573,1.271874
CN,000725,Q1,2022-03-31,2022-04-28,0.21379,0.084212,0.086947,0.029393,0.009602,1.629236,0.512277,1.568161,0.110435,3.061161,0.292326,3.362107,0.14984,0.016522,-0.153088
CN,000725,Q2,2022-06-30,2022-08-30,0.153642,0.013648,0.053652,0.015399,0.004945,1.750425,0.518079,1.613306,0.092169,3.114017,0.324707,6.05212,0.116462,-0.286232,-0.708847
CN,000725,Q3,2022-09-30,2022-10-31,0.02615,-0.108524,-0.031715,-0.009786,-0.003027,1.607624,0.529492,1.711939,0.09544,3.233175,0.070949,-2.237108,-0.071491,-0.26537,-1.179855
CN,000725,Q4,2022-12-31,2023-04-04,0.05904,-0.008163,0.049481,0.016606,0.005373,1.660217,0.519601,1.605878,0.10859,3.0906,0.262573,5.306519,0.092197,-0.184934,-0.611424
CN,000725,Q1,2023-03-31,2023-04-29,0.068448,-0.027659,0.006513,0.00187,0.0006,1.602301,0.522634,1.629543,0.092083,3.117941,0.266566,40.929262,0.156959,-0.247689,-0.943648
CN,000725,Q2,2023-06-30,2023-08-29,0.110055,0.000924,0.011574,0.003786,0.001193,1.56452,0.526145,1.669448,0.103085,3.172978,0.145038,12.530834,0.01605,0.026011,-0.778655
CN,000725,Q3,2023-09-30,2023-10-31,0.148251,0.010867,0.00618,0.002192,0.000689,1.566352,0.532345,1.693919,0.11148,3.181994,0.147087,23.801862,0.028356,0.12649,1.219498
CN,000725,Q4,2023-12-31,2024-04-02,0.162337,0.042193,0.031758,0.011785,0.003639,1.588068,0.528137,1.71051,0.114575,3.238759,0.317365,9.993291,0.1154,0.051655,-0.325031
CN,000725,Q1,2024-03-31,2024-04-30,0.144834,0.012776,0.02144,0.007547,0.002358,1.691651,0.524654,1.679379,0.10997,3.200928,0.353706,16.497759,0.244941,0.208411,2.977972
CN,000725,Q2,2024-06-30,2024-08-28,0.174554,0.034102,0.027374,0.009938,0.003078,1.550979,0.525241,1.69562,0.112458,3.228271,0.182074,6.65129,0.027721,0.125444,1.661726
CN,000725,Q3,2024-09-30,2024-10-31,0.174064,0.009165,0.020374,0.007769,0.002457,1.456913,0.5174,1.635893,0.120613,3.161756,0.178572,8.7649,-0.044006,0.086498,2.582058
CN,000725,Q4,2024-12-31,2025-04-22,0.118175,0.041413,0.036844,0.015146,0.004683,1.244021,0.524287,1.695774,0.127097,3.234438,0.253771,6.887728,0.061462,0.13785,0.320076
CN,000725,Q1,2025-03-31,2025-04-29,0.15775,0.044999,0.031898,0.012177,0.003841,1.276433,0.506677,1.606341,0.120413,3.170349,0.271622,8.515366,0.092782,0.102672,0.640556
CN,000725,Q2,2025-06-30,2025-08-28,0.130404,0.035965,0.03222,0.012278,0.003835,1.340846,0.522696,1.673527,0.119021,3.201723,0.17744,5.507126,-0.06493,0.066961,0.255836
CN,000725,Q3,2025-09-30,2025-10-31,0.144366,0.027241,0.025429,0.010125,0.003145,1.436221,0.524261,1.687902,0.123669,3.219583,0.263532,10.36335,0.100222,0.058089,0.320652
CN,000725,Q4,2025-12-31,2026-04-01,0.193978,0.024623,0.025088,0.009336,0.002877,1.399286,0.524551,1.702148,0.114676,3.244964,0.240795,9.597952,0.039712,-0.084299,-0.376469
CN,000725,Q1,2026-03-31,2026-04-30,0.155957,0.048266,0.033474,0.012544,0.0039,1.425343,0.519161,1.669688,0.11652,3.21613,0.241161,7.204401,0.063833,0.007951,0.057758
