country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
HK,01113,Q2,2016-06-30,2016-08-11,0.4829,0.413951,0.315793,0.032399,0.023112,5.582151,0.269398,0.377642,0.073188,1.4018,0.612579,1.939809,,,
HK,01113,Q4,2016-12-31,2017-03-22,0.425899,0.390725,0.258711,0.041422,0.028204,4.863313,0.303808,0.446197,0.109017,1.46868,0.532052,2.05655,0.514531,,
HK,01113,Q2,2017-06-30,2017-08-03,0.571671,0.69448,0.517611,0.052124,0.034672,2.580343,0.32077,0.482236,0.066984,1.503368,0.757768,1.463973,,0.078068,0.767041
HK,01113,Q4,2017-12-31,2018-03-16,0.504257,0.643455,0.529919,0.048072,0.032154,2.683405,0.317994,0.475424,0.060677,1.495073,0.975292,1.840455,,-0.405824,0.217054
HK,01113,Q2,2018-06-30,2018-08-02,0.59483,1.681916,1.474446,0.076416,0.053971,3.575991,0.280942,0.39778,0.036604,1.41588,0.597987,0.405567,,-0.436317,0.605685
HK,01113,Q4,2018-12-31,2019-03-21,0.526221,0.656063,0.476384,0.048626,0.034246,4.057616,0.283472,0.402509,0.071887,1.419926,0.12589,0.264263,,0.303782,0.172066
HK,01113,Q2,2019-06-30,2019-08-01,0.570316,0.680392,0.56372,0.043928,0.031743,3.850752,0.265183,0.366973,0.05631,1.383847,0.379975,0.674048,,0.667841,-0.36234
HK,01113,Q4,2019-12-31,2020-03-19,0.411277,0.358896,0.254837,0.040116,0.028104,3.828832,0.288993,0.412519,0.110281,1.427435,0.569376,2.234275,,0.674187,-0.10441
HK,01113,Q2,2020-06-30,2020-08-06,0.518702,0.405053,0.217451,0.017959,0.012667,3.490142,0.28276,0.400912,0.05825,1.417852,0.387856,1.783648,,0.131732,-0.563443
HK,01113,Q4,2020-12-31,2021-03-18,0.60637,0.4817,0.364354,0.026132,0.018109,2.721362,0.294765,0.425356,0.049702,1.443034,0.463111,1.271047,0.411951,-0.566015,-0.379508
HK,01113,Q2,2021-06-30,2021-08-05,0.609535,0.577078,0.359169,0.023051,0.015604,2.723549,0.310226,0.458274,0.043445,1.477225,-0.118562,-0.330102,,-0.275504,0.19667
HK,01113,Q4,2021-12-31,2022-03-17,0.531595,0.423328,0.331547,0.033596,0.022881,2.981863,0.306148,0.449513,0.069013,1.468286,0.733077,2.211083,0.6501,0.442149,0.312294
HK,01113,Q2,2022-06-30,2022-08-04,0.49923,0.341033,0.362201,0.033689,0.025992,4.297657,0.214776,0.278376,0.071762,1.296121,0.227439,0.627938,,0.577979,0.591296
HK,01113,Q4,2022-12-31,2023-03-16,0.569839,0.430739,0.419823,0.023992,0.018062,3.81737,0.235255,0.312504,0.043022,1.328365,-0.054302,-0.129346,-0.165371,-0.370162,-0.202463
HK,01113,Q2,2023-06-30,2023-08-03,0.542695,0.470311,0.419874,0.026398,0.020499,4.10239,0.211614,0.272508,0.048822,1.287763,-0.147694,-0.351757,,-0.257269,-0.139004
HK,01113,Q4,2023-12-31,2024-03-21,0.519574,0.250686,0.307488,0.017343,0.01342,3.52251,0.215076,0.277949,0.043645,1.292331,0.183484,0.59672,0.07529,0.017317,-0.254894
HK,01113,Q2,2024-06-30,2024-08-15,0.558842,0.388222,0.390903,0.021784,0.017054,4.079971,0.206445,0.263711,0.043627,1.27739,0.066839,0.170987,,-0.11457,-0.175663
HK,01113,Q4,2024-12-31,2025-03-20,0.494345,0.220285,0.217216,0.013089,0.010319,4.256194,0.202441,0.256774,0.047508,1.268392,0.436907,2.011392,0.341432,0.096793,-0.2252
HK,01113,Q2,2025-06-30,2025-08-14,0.4961,0.292957,0.248247,0.01567,0.012223,4.104489,0.210944,0.270437,0.049236,1.282029,0.169267,0.681847,,0.152567,-0.268051
HK,01113,Q4,2025-12-31,2026-03-19,0.397549,0.157045,0.138811,0.011089,0.008801,4.45603,0.197875,0.249318,0.063403,1.259977,0.443649,3.196072,0.367249,0.32171,-0.155371
