code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
01211,比亚迪股份,HK,HKD,Q2,2016-06-30,2016-08-29,27379396582.158062,5435299869.535146,3022708273.759992,2171358928.353256,337423700.4755095,1644366932.1314979,1644366932.1314979,0.6418804224537923,142071288365.27917,68812142973.45978,73259145391.8194,5777655545.765728,37680783764.92821,47209008473.02306,96804620554.0991,85451622002.33789,11352998551.761215,33017963642.709934,45266667811.18007,40647570249.228714,-204413239.3346347,-3893022268.0119534,3163399125.919355,5886720365.983135
01211,比亚迪股份,HK,HKD,Q3,2016-09-30,2016-10-31,33774541806.49263,7929319618.275028,2111341328.7629557,2140502548.0133827,393684597.6791538,1632709741.3441784,1632709741.3441784,0.5928967396634441,155692717976.03857,81859963585.55864,73832754390.47993,8821961698.659775,39509062323.369995,41189981544.90458,92180936810.7685,77462712364.65115,14718224446.11733,21097685248.4317,63511781165.27008,58787105626.24003,-1628074683.8911626,-3479808618.665405,4252937829.388149,7519402437.897991
01211,比亚迪股份,HK,HKD,Q4,2016-12-31,2017-03-29,111897519483.84885,21236854961.05486,10013994501.207134,7334653564.036964,1215366012.4429967,5641517405.607081,5641517405.607081,2.099313030153339,161994135398.8736,87494233829.7701,74499901569.1035,7940801168.441196,51067894354.78946,46953854976.415825,100120945112.49258,87453812004.03685,12667133108.455734,38706787486.64846,61873190286.38101,57235233841.65659,-2060867685.3048553,-14987087288.04579,5403828271.047305,18168233272.08637
01211,比亚迪股份,HK,HKD,Q1,2017-03-31,2017-04-29,23742671231.40743,4986777743.54798,1580977852.553767,1152527316.5468175,271048916.59524924,683412392.2702808,683412392.2702808,0.22562496959211642,165074119468.28857,87532724281.18207,77541395187.1065,10263206054.309233,46560407565.595,43110289289.948654,101523604551.85594,82676708616.88605,18846895934.969887,15962315670.604963,63550514916.43263,58663886456.26235,-2728153344.8218594,-3948808120.9370165,3727959631.951165,8334481461.121921
01211,比亚迪股份,HK,HKD,Q2,2017-06-30,2017-08-29,26214162400.510406,4315439197.578228,2683019783.363225,1874613006.0127113,281566268.19468987,1286043240.9555233,1286043240.9555233,0.44897353278626,176981880747.7866,95842155557.11655,81139725190.67004,9578392138.748579,56217073147.28748,51237918678.6197,111168076619.75749,89870936507.04819,21297140112.70931,33321495160.724155,65813804128.0291,60581381387.08821,-1211007100.2708862,-3674142671.5591335,-432762134.6101162,4577936753.985555
01211,比亚迪股份,HK,HKD,Q3,2017-09-30,2017-10-30,35350154342.83756,7644801926.233463,2454836370.6813545,1814266519.1287212,292176412.54298836,1254234926.5483117,1254234926.5483117,0.43430772331369744,193357957209.16,107868558498.43452,85489398710.72548,10305673880.854836,60658941573.37778,48233850697.970726,124249352289.09451,107260576985.59096,16988775303.503546,25420164859.28168,69108604920.06549,63506826433.65802,4890369523.768402,-5219310671.992224,8615019556.413795,223879762.34492302
01211,比亚迪股份,HK,HKD,Q4,2017-12-31,2018-03-28,123254221819.31943,21534928073.02554,9831381137.41556,6748792876.979395,844949764.8924358,4882684690.37489,4882684690.37489,1.6810022251503258,213846812948.5748,123458843015.89172,90387969932.68307,10729541827.029253,63970198674.787125,57431102420.3841,141854906476.1307,126071487892.83311,15783418583.297579,47461095033.03977,71991906472.44409,66044408933.28585,7646023011.789881,-18871320011.481094,8928765791.905216,13409383567.205153
01211,比亚迪股份,HK,HKD,Q1,2018-03-31,2018-04-28,30940678820.5845,5304408510.306783,1399604417.181197,382182513.1574842,51806348.63409596,128108770.13151324,128108770.13151324,0.02501513695514049,227757238597.98578,130853867472.37112,96903371125.61465,10183792333.14986,65408386888.26859,55290142969.239136,152523162318.89178,139723415790.92865,12799746527.963135,27076855775.575672,75234076279.094,68838025953.4176,-204272357.6188295,-6641701472.089573,5054793715.443066,5312344562.505801
01211,比亚迪股份,HK,HKD,Q2,2018-06-30,2018-08-30,32208946035.772934,2998648206.6888213,1690867069.0722642,926207491.9519324,202988812.1442973,446425343.315298,446425343.315298,0.1303694647485167,226720591585.90057,132824805321.9278,93895786263.97278,11887366312.353535,61004209118.299286,59330159710.17958,156360245979.26593,141115676321.3257,15244569657.9402,46306763363.42309,70360345606.63464,64265832683.394035,-1710518488.1176748,-3311864401.2779894,2760299640.1738696,7754704057.257549
01211,比亚迪股份,HK,HKD,Q3,2018-09-30,2018-10-30,42250079384.314156,8078110555.424419,2037309140.698273,1535454810.8579278,85839964.34247361,1194480600.0870082,1194480600.0870082,0.4103357743100584,218969285862.30502,130626247080.64337,88343038781.66165,16074354564.5876,,49083879758.96959,150756516594.07016,136177481442.32657,14579035151.743578,,68212769268.23486,62096391982.63197,9411427124.92764,-806915041.7863721,7022453386.716076,-4657776085.630048
