code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
00788,中国铁塔,HK,HKD,Q4,2016-12-31,,52700573647.91853,52700573647.91853,10307850309.226315,5418014267.18298,1317653923.1813512,4100360344.0016284,4100360344.0016284,0.1339987040523408,348025900788.2079,44180489381.92386,303845411406.28406,19261197051.656887,17630879485.68674,274460612263.4728,207827523361.71216,191582413807.10004,16245109554.612116,44487569745.377144,140198377426.49573,140198377426.49573,38326979326.57078,-34399700641.970085,34381834148.09644,-4446523662.803509
00788,中国铁塔,HK,HKD,Q2,2017-06-30,,38303198417.60114,38303198417.60114,4729187878.681939,1851152412.1033492,561792523.0761408,1289359889.0272083,1289359889.0272083,0.01151214186631436,,,,,,,,,,,,,21810903979.919186,-28551263042.646244,28559321541.952667,-4231863350.057159
00788,中国铁塔,HK,HKD,Q4,2017-12-31,,42496936967.67535,42496936967.67535,4330982161.512304,1293170997.4906435,304981832.2772734,988189165.2133702,988189165.2133702,0.012007158751073757,387402572092.269,36642246360.65178,350760325731.6172,9428021051.343113,18325325685.888767,309950394568.4677,234317301595.45413,180156610616.98575,54160690978.46839,38310040711.17593,153085270496.81485,153085270496.81485,19198246127.091827,-32556210237.661385,32454149388.277256,13518860037.833942
00788,中国铁塔,HK,HKD,Q1,2018-03-31,2018-05-30,21568051082.72213,21568051082.72213,2612831054.964424,622876910.1829982,147589308.0353289,475287602.1476693,475287602.1476693,0.0,405670476001.51337,43011026480.668564,362659449520.8448,9031715197.653475,24175879110.29553,318466457819.04584,245729944094.58383,183892525541.47653,61837418553.10729,36524601468.20063,159940531906.92953,159940531906.92953,7243132905.3609295,-11015415558.196115,11022920099.282658,2983055081.9005036
00788,中国铁塔,HK,HKD,Q2,2018-06-30,2018-08-12,21441036243.32196,21441036243.32196,3165607639.4844375,1288287347.1057968,304590476.7306254,983696870.3751715,983696870.3751715,0.011851769522592428,389655367302.0803,50084392825.52334,339570974476.557,17629507164.856236,22975840396.49768,298592296175.2414,237117167661.55444,174030198492.79495,63086969168.75949,33623470135.59472,152538199640.52588,152538199640.52588,13489684070.614702,-7133580075.648382,7135950429.552901,2715240397.625925
00788,中国铁塔,HK,HKD,Q3,2018-09-30,2018-10-18,20867075596.97611,-26471536706.937153,3245625488.016331,1122030547.457689,265777829.81647184,856252717.6412172,856252717.6412172,0.1513683078565993,,,,,,,,,,,,,18484571079.223186,-9774039417.069515,-43691410883.997734,16912230527.935469
00788,中国铁塔,HK,HKD,Q4,2018-12-31,2019-03-04,20692603302.861237,60954459356.07384,1677470585.737419,1030958196.3711742,246836843.9485523,784121352.4226218,784121352.4226218,-0.13979732858041205,359015022234.79706,36200449931.01404,322814572303.783,5505373623.899616,21809749356.21771,283527880045.5581,153528887027.78122,130643335753.74194,22885551274.039284,34825244939.76699,205486135207.01584,205486135207.01584,13831654779.281006,-10839915886.756975,63991200044.625305,-40012559097.31399
00788,中国铁塔,HK,HKD,Q1,2019-03-31,2019-04-18,22101381039.039883,5831557569.870177,3560443944.767667,1969100612.07349,467267574.30972344,1501833037.7637665,1501833037.7637665,0.08537957606974428,390893393754.68713,39432763684.86591,351460630069.8212,3595235792.193616,19721695425.729866,319529622849.94904,179697132471.92267,127741079977.31615,51956052494.60654,28486674678.706886,211196261282.76447,211196261282.76447,12504248932.699585,-7987784733.317798,-8012962355.101251,-6574584701.3053255
00788,中国铁塔,HK,HKD,Q2,2019-06-30,2019-08-07,21716254962.372017,34024379304.547333,2938032056.142015,1878127809.520196,439809813.6754753,1438317995.8447206,1438317995.8447206,-0.07169259340925141,382733754859.4715,44301470816.22472,338432284043.24677,3147646243.9680853,30413591292.946873,275255177562.27203,176608444986.48843,135199713415.44336,41408731571.04508,32389120533.557358,206125309872.98306,206123033917.63675,11501312101.887646,-7937850356.96767,23459553363.239483,-3916571463.5696254
00788,中国铁塔,HK,HKD,Q3,2019-09-30,2019-10-18,20904343070.685738,-41788336048.77313,4277001908.431768,1903566978.8860705,451729305.7645346,1452957845.4858012,1452957845.4858012,0.23030761356541476,368340605748.9887,43885436221.48353,324455169527.5052,3547930074.55011,23682203184.874763,294657169125.7803,169299768309.72586,127891225981.61977,41408542328.1061,31642218187.750816,199040837439.26285,199038777724.79562,11392597233.188917,-6613096041.366279,-36897756664.723785,-4263758805.001349
