country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
CN,002185,Q2,2016-06-30,2016-08-25,0.164094,0.083216,0.07463,0.021587,0.014163,2.587608,0.25666,0.39118,0.18978,1.524121,0.135695,1.818244,-0.069857,,
CN,002185,Q3,2016-09-30,2016-10-29,0.178456,0.077631,0.073846,0.023199,0.015322,2.435398,0.257691,0.390177,0.207481,1.514126,0.136502,1.848475,-0.100181,,
CN,002185,Q4,2016-12-31,2017-03-28,0.209794,0.067358,0.066857,0.020269,0.012958,1.73311,0.282894,0.442504,0.193813,1.564205,0.243174,3.637223,-0.087315,,
CN,002185,Q1,2017-03-31,2017-04-27,0.183906,0.092553,0.077045,0.022794,0.014167,1.604614,0.303126,0.487707,0.18388,1.608926,0.108504,1.408319,-0.214252,,
CN,002185,Q2,2017-06-30,2017-08-26,0.194376,0.103785,0.076933,0.027507,0.017269,1.441003,0.295477,0.470656,0.224463,1.592871,0.178316,2.317812,-0.0447,0.327243,0.368201
CN,002185,Q3,2017-09-30,2017-10-21,0.154532,0.081603,0.065973,0.025318,0.014995,1.363343,0.334911,0.565485,0.227288,1.688463,0.057718,0.874882,-0.147164,0.3328,0.19071
CN,002185,Q4,2017-12-31,2018-03-27,0.187066,0.081817,0.063741,0.0201,0.011475,1.324302,0.359891,0.630434,0.180018,1.751733,0.178234,2.796219,-0.118938,0.133188,0.080379
CN,002185,Q1,2018-03-31,2018-04-25,0.129677,0.057328,0.042168,0.014982,0.00839,1.285764,0.371777,0.66388,0.198959,1.785694,0.068538,1.625352,-0.193623,0.297616,-0.289793
CN,002185,Q2,2018-06-30,2018-08-25,0.198416,0.089598,0.069532,0.023401,0.012579,1.19983,0.397071,0.738703,0.180903,1.860379,0.122399,1.760314,-0.141304,0.017178,-0.08067
CN,002185,Q3,2018-09-30,2018-10-27,0.186093,0.092096,0.065933,0.020726,0.010585,1.153133,0.427398,0.83685,0.160545,1.958009,0.144241,2.187697,-0.062349,-0.118391,-0.118928
CN,002185,Q4,2018-12-31,2019-04-30,0.136794,0.031141,0.039951,0.010962,0.005017,1.262194,0.487656,1.065536,0.125576,2.185013,0.331328,8.293438,0.155826,-0.073314,-0.419189
CN,002185,Q1,2019-03-31,2019-04-30,0.116216,0.009149,0.009734,0.002848,0.001157,0.96191,0.471527,1.160666,0.118853,2.461507,0.066606,6.842705,-0.096356,-0.112382,-0.795107
CN,002185,Q2,2019-06-30,2019-08-29,0.144483,0.048169,0.032402,0.011704,0.004739,0.97103,0.460042,1.136179,0.146257,2.469727,0.167009,5.154219,-0.021231,0.145389,-0.466244
CN,002185,Q3,2019-09-30,2019-10-26,0.164811,0.055947,0.03616,0.01074,0.005169,1.216055,0.394672,0.820024,0.142947,2.077737,0.201056,5.560155,-0.053589,0.278556,-0.298789
CN,002185,Q4,2019-12-31,2020-04-28,0.221937,0.055783,0.059693,0.015345,0.007429,1.18802,0.3818,0.788606,0.124455,2.065493,0.420558,7.045371,0.070553,0.277996,0.909539
CN,002185,Q1,2020-03-31,2020-04-28,0.185457,0.055565,0.037027,0.008065,0.003797,1.171262,0.38778,0.823755,0.10254,2.124285,0.125143,3.379766,-0.23507,-0.011204,2.761307
CN,002185,Q2,2020-06-30,2020-08-26,0.242823,0.13622,0.101028,0.025722,0.011793,1.085577,0.393919,0.859159,0.116731,2.181057,0.170825,1.69086,-0.161934,-0.049617,1.963228
CN,002185,Q3,2020-09-30,2020-10-28,0.233573,0.111768,0.081897,0.022234,0.010406,1.104108,0.383149,0.818644,0.127066,2.136621,0.358128,4.37293,-0.013565,-0.02849,1.200307
CN,002185,Q4,2020-12-31,2021-03-30,0.201971,0.118976,0.103188,0.029899,0.013172,1.215717,0.397914,0.903222,0.127651,2.26989,0.288874,2.799494,-0.093903,0.23434,1.133741
CN,002185,Q1,2021-03-31,2021-04-27,0.236574,0.167309,0.108518,0.031828,0.01327,1.200712,0.425336,1.020159,0.122285,2.398479,0.235513,2.170266,-0.176011,0.534918,3.498507
CN,002185,Q2,2021-06-30,2021-08-28,0.271659,0.154175,0.109505,0.036011,0.014478,0.956055,0.473887,1.178668,0.132217,2.487236,0.286155,2.613178,-0.147973,0.493809,0.619142
CN,002185,Q3,2021-09-30,2021-10-29,0.255914,0.158775,0.127836,0.043244,0.016683,0.925632,0.496235,1.286297,0.130503,2.59211,0.298136,2.332172,-0.203838,0.474863,1.302178
CN,002185,Q4,2021-12-31,2022-04-26,0.219963,0.1515,0.12004,0.025761,0.012934,1.4009,0.400679,0.798043,0.107749,1.991724,0.309506,2.578353,-0.16232,0.31032,0.524314
CN,002185,Q1,2022-03-31,2022-04-29,0.17927,0.094343,0.068773,0.013585,0.007031,1.338715,0.382303,0.738678,0.102231,1.932178,0.128376,1.866651,-0.391931,0.157972,-0.266135
CN,002185,Q2,2022-06-30,2022-08-25,0.206362,0.15542,0.095608,0.01998,0.010298,1.250647,0.38034,0.737926,0.107712,1.940172,0.29236,3.057912,-0.172651,0.06357,-0.071405
CN,002185,Q3,2022-09-30,2022-10-28,0.162191,0.089645,0.065484,0.01221,0.006358,1.272204,0.374829,0.719795,0.097099,1.920328,0.333779,5.097091,-0.027835,-0.10548,-0.54178
CN,002185,Q4,2022-12-31,2023-03-28,0.119293,0.011964,0.017848,0.003142,0.001602,1.214708,0.380125,0.745642,0.089734,1.961571,0.209305,11.727354,-0.247134,-0.139493,-0.872059
CN,002185,Q1,2023-03-31,2023-04-28,0.039924,-0.06245,-0.047508,-0.006803,-0.003491,1.358665,0.377606,0.735807,0.073487,1.948613,0.075169,-1.582236,-0.294184,-0.255557,-1.514255
CN,002185,Q2,2023-06-30,2023-08-29,0.110109,0.069629,0.059387,0.01062,0.005295,1.363257,0.405951,0.814163,0.089168,2.00557,0.207067,3.486716,-0.036585,-0.11305,-0.449064
CN,002185,Q3,2023-09-30,2023-10-28,0.095397,0.005423,0.00671,0.001256,0.000621,1.351805,0.412293,0.833859,0.092528,2.022491,0.238597,35.556573,-0.097762,0.025299,-0.894935
CN,002185,Q4,2023-12-31,2024-04-02,0.098836,0.048895,0.044415,0.009051,0.00425,1.159321,0.433393,0.92289,0.095693,2.129455,0.29162,6.565873,-0.076944,0.162145,1.892046
CN,002185,Q1,2024-03-31,2024-04-29,0.085199,0.021032,0.018362,0.003588,0.001588,1.170086,0.467729,1.057004,0.086476,2.259867,0.178318,9.711054,-0.180256,0.38724,1.536183
